Header,Price,Price Per Square Meter,Surface,Rooms,Address,Latitude,Longitude,URL,Extraction Date,Floor,Rent,Additional Information,Seller Type,Free From,Type of Property,Form of Property,Status,Heating Type,Accessibility Score,Flag_hasSchoolNearby,Flag_hasParkNearby,Flag_hasPublicTransportNearby,Flag_hasSupermarketNearby,Flag_hasHospitalNearby,Flag_hasRestaurantNearby,Flag_hasGymNearby,Flag_hasShoppingMallNearby,Distance_schoolDistance,Distance_parkDistance,Distance_publicTransportDistance,Distance_supermarketDistance,Distance_hospitalDistance,Distance_restaurantDistance,Distance_gymDistance,Distance_shoppingMallDistance
"Apartament 2 camere, metrou Berceni",83505.0,1415.0,59.0,2,"Aparatorii Patriei, Sectorul 4, Bucuresti",44.37349,26.139492,https://www.storia.ro/ro/oferta/apartament-2-camere-metrou-berceni-IDCn4H,2025-03-18T08:42:31.069677,1/7,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință nouă,fara informatii,în construcție,centrală pe gaz,91,true,true,true,true,true,true,true,true,433.58737663842913,403.0265787146324,206.0679786445379,314.52075091717137,322.10954541629474,314.52075091717137,323.91866024183605,742.7220983607355
"Apartament 2 camere, decomandat, metrou Berceni",83500.0,1285.0,65.0,2,"Aparatorii Patriei, Sectorul 4, Bucuresti",44.37349,26.139492,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-metrou-berceni-IDCn4x,2025-03-18T08:42:38.266648,1/7,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință nouă,fara informatii,în construcție,centrală pe gaz,91,true,true,true,true,true,true,true,true,433.58737663842913,403.0265787146324,206.0679786445379,314.52075091717137,322.10954541629474,314.52075091717137,323.91866024183605,742.7220983607355
"Apartament 2 camere Cosmopolis, Comision 0%",77800.0,1655.0,47.0,2,"Stefanestii De Jos, Ilfov",44.53218,26.202171,https://www.storia.ro/ro/oferta/apartament-2-camere-cosmopolis-comision-0-IDCrGo,2025-03-18T08:42:45.997541,2/10,0.0,balcon,agenție,fara informatii,locuință utilizată,fara informatii,gata de utilizare,centrală pe gaz,91,true,true,true,true,true,true,true,true,278.45971474666817,688.7567889434038,88.47829555715948,415.7094412913295,726.1081990684321,9.315493981660417,532.2878262529124,323.36729889087405
"Garsoniera, decomandata, metrou Berceni",55005.0,1487.0,37.0,1,"Aparatorii Patriei, Sectorul 4, Bucuresti",44.37349,26.139492,https://www.storia.ro/ro/oferta/garsoniera-decomandata-metrou-berceni-IDCn4D,2025-03-18T08:42:54.466265,7/7,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință nouă,fara informatii,în construcție,centrală pe gaz,91,true,true,true,true,true,true,true,true,433.58737663842913,403.0265787146324,206.0679786445379,314.52075091717137,322.10954541629474,314.52075091717137,323.91866024183605,742.7220983607355
Apartament 3 camere PREMIUM - FINALIZAT-PREDARE IMEDIATA,131700.0,1600.0,82.32,3,"Theodor Pallady, Sectorul 3, Bucuresti",44.408157,26.191114,https://www.storia.ro/ro/oferta/apartament-3-camere-premium-finalizat-predare-imediata-IDD8kh,2025-03-18T08:43:02.729886,3,0.0,"balcon
garaj
bucătărie separată",agenție,fara informatii,locuință nouă,fara informatii,fara informatii,centralizată,85,true,true,true,true,true,false,true,true,585.684551981442,715.412002395661,61.328607702028705,473.14053038441114,234.5586736387145,1164.9147572037034,607.0951050135691,463.3665169288513
"Camil Ressu, piata Ambrozie, pe Lotrioara, parc IOR,5 minute metrou,",95000.0,2714.0,35.0,1,"Strada Lotrioara, Titan, Sectorul 3, Bucuresti",44.416515,26.157188,https://www.storia.ro/ro/oferta/camil-ressu-piata-ambrozie-pe-lotrioara-parc-ior-5-minute-metrou-IDD8kf,2025-03-18T08:43:10.443270,2/10,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință utilizată,drept de proprietate,gata de utilizare,centralizată,88,true,true,true,true,true,true,true,true,347.02089158086903,154.62185329462653,331.21170163165834,267.90680776247274,1437.2044123810665,284.5339239278181,316.77280046888484,287.4873162664173
Proprietar - Apartament 2 camere Avantgarden 3 mobilat,115000.0,2396.0,48.0,2,"Bartolomeu Nord, Brasov, Brasov",45.666603,25.57764,https://www.storia.ro/ro/oferta/proprietar-apartament-2-camere-avantgarden-3-mobilat-IDCHTY,2025-03-18T08:45:08.649830,4/8,0.0,balcon,privat,fara informatii,locuință nouă,drept de proprietate,gata de utilizare,centrală pe gaz,90,true,true,true,true,true,true,true,true,601.7222874694872,258.0812525224177,100.15267731294341,338.8755157730062,486.3141638563219,365.22024643898715,318.32600637108885,803.851030898888
Apartament 2 camere studio la 15 min de metrou Nicolae Teclu,71101.0,1454.0,48.9,2,"Theodor Pallady, Sectorul 3, Bucuresti",44.408157,26.191114,https://www.storia.ro/ro/oferta/apartament-2-camere-studio-la-15-min-de-metrou-nicolae-teclu-IDD8ke,2025-03-18T08:45:17.938385,3,0.0,balcon,agenție,fara informatii,locuință nouă,fara informatii,fara informatii,fara informatii,85,true,true,true,true,true,false,true,true,585.684551981442,715.412002395661,61.328607702028705,473.14053038441114,234.5586736387145,1164.9147572037034,607.0951050135691,463.3665169288513
"Apartament cu 2 camere, parter - Longinescu - Gara.",68000.0,1172.0,58.0,2,"Focsani, Vrancea",45.696476,27.184044,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-parter-longinescu-gara-IDBotH,2025-03-18T08:45:26.729485,parter/3,0.0,debara,agenție,fara informatii,locuință utilizată,drept de proprietate,gata de utilizare,centrală pe gaz,94,true,true,true,true,true,true,true,true,197.65225058349998,60.78103677772971,272.93624283803496,157.17751101683064,145.9366893571302,149.34228826820785,361.7091996307951,141.055634269043
Apartament 2 camere Suedia,25000.0,431.0,58.0,2,"Centrul Nou, Brasov, Brasov",45.653595,25.608946,https://www.storia.ro/ro/oferta/apartament-2-camere-suedia-IDD8kc,2025-03-18T08:45:34.670337,1,0.0,,agenție,fara informatii,locuință utilizată,fara informatii,fara informatii,fara informatii,90,true,true,true,true,true,true,true,true,113.1967445358871,203.2004183829177,318.6705611669787,429.63192567464785,212.69483761446315,116.83864091020038,42.52755734705502,265.0982644490461
